model,vector,stored_mean,stored_population_sd,max_abs_rebuild_error_from_rounded_csv
Phi_4,sadness_vector,-6.190476190478881e-06,1.0000053138476728,6.685646019466418e-05
Qwen_2.5_32B_base,s1_pain_vector,-2.380952380923173e-07,0.9999999159166348,4.966505093539908e-05
Qwen_2.5_32B_base,s2_pain_vector,9.523809523778324e-07,1.0000009673562216,4.9777727358257806e-05
Qwen_2.5_32B_base,fear_vector,-1.6666666666691256e-06,0.9999992062721057,5.0257487629878916e-05
Qwen_2.5_32B_base,negemotion_vector,7.142857142876244e-07,1.0000019579859232,4.971935861464161e-05
Qwen_2.5_32B_base,negworld_vector,-2.3809523809479212e-07,0.9999989954399433,5.042724915149677e-05
Qwen_2.5_32B_base,bodysens_vector,1.6666666666668022e-06,1.0000021529843888,5.1324254719542495e-05
Qwen_2.5_32B_base,arousal_vector,1.1904761904776903e-06,0.9999999839873864,5.1080463921326924e-05
Qwen_2.5_32B_base,random_vector,2.6190476190492968e-06,1.0000016628404258,5.238727435052937e-05
Qwen_2.5_32B_base,sadness_vector,3.333333333335719e-06,0.9999963763688315,5.1463198668777466e-05
Qwen_2.5_32B_instruct,s1_pain_vector,-4.7619047618975053e-07,1.0000007965233788,5.109294589664137e-05
Qwen_2.5_32B_instruct,s2_pain_vector,-7.142857142889976e-07,0.9999997984163912,5.036135398051034e-05
Qwen_2.5_32B_instruct,fear_vector,-9.52380952384193e-07,0.9999976251395837,4.999389103382823e-05
Qwen_2.5_32B_instruct,negemotion_vector,1.4285714285702335e-06,0.999999823856107,5.0179001657379985e-05
Qwen_2.5_32B_instruct,negworld_vector,2.3809523809316958e-07,0.9999992533925501,5.085873417920439e-05
